Issue Id,Issue Type,Summary,Epic Name,Epic Link,Parent Id,Story Points,Sprint,Priority,Labels,Description
1,Epic,Backend API foundation,BACKEND,,,,,High,backend,".NET 10 minimal API, endpoints, weather + air-quality integration, caching"
2,Epic,Currency and founding-year data,DATA,,,,,Medium,backend;data,"Live FX rates, currency + established-year + official-language enrichment"
3,Epic,Frontend UI and interactive map,FRONTEND,,,,,High,frontend,"Angular 18 SPA, station cards, interactive world map"
4,Epic,Testing and QA,QA,,,,,High,qa,"Unit, integration, component tests + manual QA/a11y"
5,Epic,DevOps and AWS deployment,DEVOPS,,,,,High,devops,"Containerize, CI/CD, AWS infra, monitoring"
6,Epic,Project management and UX,PMUX,,,,,Medium,pm;ux,"Ceremonies, backlog, UX design, buffer"
101,Story,Scaffold .NET 10 minimal API + CORS + OpenAPI,,BACKEND,,3,Sprint 1,High,backend,"Project setup, dev-server CORS, OpenAPI, /health"
1001,Sub-task,Create minimal API project + DI wiring,,,101,,,,,
1002,Sub-task,Configure CORS for localhost:4200,,,101,,,,,
1003,Sub-task,Add OpenAPI + /health endpoint,,,101,,,,,
102,Story,Countries dataset served at /api/countries,,BACKEND,,5,Sprint 1,High,backend;data,253 countries from mledoze; name/capital/code/flag/coords
1004,Sub-task,ETL script from mledoze/countries,,,102,,,,,
1005,Sub-task,CountryInfo model + Countries.cs data,,,102,,,,,
1006,Sub-task,GET /api/countries endpoint + test,,,102,,,,,
103,Story,WeatherClassifier (code to description; AQI; C to F),,BACKEND,,3,Sprint 1,High,backend,Pure classification with unit tests
1007,Sub-task,WMO code to description map,,,103,,,,,
1008,Sub-task,US AQI to category map,,,103,,,,,
1009,Sub-task,C to F + boundary unit tests,,,103,,,,,
104,Story,Open-Meteo integration (chunk/retry/merge/cache),,BACKEND,,8,Sprint 1,High,backend,Live weather + air quality; 1h in-memory cache
1010,Sub-task,Typed HttpClient for Open-Meteo,,,104,,,,,
1011,Sub-task,Chunk + retry-once fetch,,,104,,,,,
1012,Sub-task,Merge into RegionWeather,,,104,,,,,
1013,Sub-task,1h IMemoryCache,,,104,,,,,
105,Story,Browser-relay fallback POST /api/regions/merge,,BACKEND,,5,Sprint 1,Medium,backend,Client relays raw upstream data; backend merges
1014,Sub-task,POST /api/regions/merge endpoint,,,105,,,,,
1015,Sub-task,Relay request contract (forecast/air/rates),,,105,,,,,
1016,Sub-task,Merge + classification tests,,,105,,,,,
106,Story,Angular scaffold + weather service + models,,FRONTEND,,3,Sprint 1,High,frontend,"Standalone app, HttpClient, DTOs"
1017,Sub-task,Standalone app scaffold + config,,,106,,,,,
1018,Sub-task,WeatherService + region-weather model,,,106,,,,,
107,Story,UX design + prototypes,,PMUX,,8,Sprint 1,Medium,ux,"Wireframes, visual direction, review"
1019,Sub-task,Wireframes,,,107,,,,,
1020,Sub-task,"Visual direction (tokens, type)",,,107,,,,,
1021,Sub-task,Design review sign-off,,,107,,,,,
108,Story,"Live FX rates service (open.er-api, cached)",,DATA,,5,Sprint 2,Medium,backend,USD-based rates; graceful failure
1022,Sub-task,CurrencyRatesService (open.er-api),,,108,,,,,
1023,Sub-task,Cache + graceful failure,,,108,,,,,
1024,Sub-task,Include currency + rate in /api/regions,,,108,,,,,
109,Story,Enrich dataset with currency (code + symbol),,DATA,,3,Sprint 2,Medium,data,From mledoze currencies
1025,Sub-task,Currency code + symbol from mledoze,,,109,,,,,
1026,Sub-task,Wire into CountryInfo,,,109,,,,,
110,Story,Enrich dataset with founding year (Wikidata),,DATA,,3,Sprint 2,Low,data,SPARQL inception per ISO code
1027,Sub-task,Wikidata SPARQL inception ETL,,,110,,,,,
1028,Sub-task,Wire established year into dataset,,,110,,,,,
111,Story,Enrich dataset with official language,,DATA,,2,Sprint 2,Low,data,Official / national language per ISO code
1029,Sub-task,Code to language lookup table,,,111,,,,,
1030,Sub-task,Project onto Countries.All,,,111,,,,,
112,Story,"Weather-board design system (tokens, type, layout)",,FRONTEND,,5,Sprint 2,Medium,frontend;ux,Distinctive visual identity
1031,Sub-task,Design tokens (colour/space),,,112,,,,,
1032,Sub-task,Typography pairing,,,112,,,,,
1033,Sub-task,Layout primitives,,,112,,,,,
113,Story,Station-model region card,,FRONTEND,,8,Sprint 2,High,frontend,"Flag, capital, time, language, temp/air/currency, founding year"
1034,Sub-task,Card markup/structure,,,113,,,,,
1035,Sub-task,Card styles (station-model),,,113,,,,,
1036,Sub-task,Bind weather/air/currency/language,,,113,,,,,
1037,Sub-task,Region-card spec,,,113,,,,,
114,Story,Regions panel: sort/search/favourites,,FRONTEND,,5,Sprint 2,High,frontend,Country/capital/AQI/year sort; search; localStorage favourites
1038,Sub-task,Sort (country/capital/AQI/year),,,114,,,,,
1039,Sub-task,Search + India-pinned,,,114,,,,,
1040,Sub-task,Favourites (localStorage),,,114,,,,,
115,Story,Infinite scroll with scroll-up unload,,FRONTEND,,5,Sprint 3,Medium,frontend,Load 5 near bottom; unload 5 on scroll up
1041,Sub-task,Load-more near bottom,,,115,,,,,
